TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,532309,INE878A01011,GVPIL,B,,,,,GE Power India Ltd,865.45,880.7,818.25,821.25,821.25,860.45,,820.45,,,22111,18483395,1376,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532310,INE879A01019,SHREERAMA,B,,,,,SHREE RAMA MULTI-TECH LTD.,43.7,44,42.51,43.38,43.38,43.59,,43.24,,,1919,83009,119,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532313,INE813A01018,MAHLIFE,A,,,,,MAHINDRA LIFESPACE DEVELOPERS,368.1,380.95,368.1,379.1,379.35,368.1,,378.9,,,119291,44652161,841,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532315,INE042B01012,GROARC,X,,,,,GROARC INDUSTRIES INDIA LIMITE,5.75,6,5.75,6,6,5.87,,6,,,7039,41773,17,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532320,INE418B01048,VAARAD,X,,,,,VAARAD VENTURES LTD,10.19,11.15,9.58,10.51,10.51,10.14,,10.51,,,4491,47660,43,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532321,INE010B01027,ZYDUSLIFE,A,,,,,Zydus Lifesciences Limited,1159.5,1160.35,1144.65,1150.5,1150.5,1159.85,,1150.8,,,35527,40931760,2495,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532323,INE555C01029,SHIVACEM,X,,,,,SHIVA CEMENT LTD.,16.85,16.99,16.52,16.75,16.77,16.73,,16.75,,,47028,788850,184,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532324,INE039B01026,CINEVISTA,B,,,,,CINEVISTA LTD.,15.5,15.99,15.35,15.56,15.97,15.33,,15.44,,,1621,25398,143,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532326,INE781A01025,INTENTECH,B,,,,,INTENSE TECHNOLOGIES LTD.,97.9,100.18,97.56,99.3,99.3,97.23,,98.8,,,848,84059,34,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532329,INE310B01013,DANLAW,XT,,,,,DANLAW TECHNOLOGIES INDIA LTD.,1022,1054,1022,1043.7,1049.95,1018.2,,1043.7,,,1205,1250605,136,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532331,INE031B01049,AJANTPHARM,A,,,,,AJANTA PHARMA LTD.,3310.95,3364.9,3291.35,3351.2,3359.8,3305.2,,3348.6,,,1377,4593554,299,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532333,INE638B01025,HBPOR,X,,,,,HB PORTFOLIO LTD.,57.9,57.9,54.02,57.79,57.8,54.94,,57.79,,,971,55219,41,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532334,INE640B01021,HBESD,B,,,,,HB ESTATE DEVELOPERS LTD.,73.95,73.97,73.88,73.97,73.97,78.6,,75.12,,,37,2736,4,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532335,INE792B01012,AMBICAAGAR,B,,,,,AMBICA AGARBATHIES & AROMA IND,24.58,24.58,24.39,24.5,24.56,24.57,,24.68,,,112,2744,5,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532339,INE453B01029,COMPUSOFT,B,,,,,COMPUCOM SOFTWARE LTD.,13.61,13.61,13.33,13.34,13.33,13.58,,13.31,,,6586,88853,40,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532340,INE369B01019,OMNIAX,X,,,,,OMNI AXS SOFTWARE LTD.,3.59,3.59,3.15,3.15,3.15,3.33,,3.15,,,43,135,3,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532341,INE848A01014,IZMO,B,,,,,IZMO Limited,1010.2,1010.2,986.65,1010.2,1010.2,962.1,,1009.9,,,47670,48120444,621,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532343,INE494B01023,TVSMOTOR,A,,,,,TVS MOTOR COMPANY LTD.,3650,3670,3608.85,3621.85,3633.15,3625.45,,3623.1,,,7030,25534365,1737,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532344,INE002B01016,MADALA,X,,,,,MADALA HOLDINGS LIMITED,212.9,212.9,190,195.7,197.7,203,,195.7,,,3609,700226,68,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532348,INE754A01055,SUBEXLTD,T,,,,,SUBEX LTD.,13.05,13.12,12.8,13.12,13.12,12.5,,13.23,,,239503,3131584,241,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532349,INE688A01022,TCI,B,,,,,TRANSPORT CORPORATION OF INDIA,924,936.8,924,936.75,936.8,926.3,,935.35,,,480,448085,67,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532350,INE243B01016,PADMALAYAT,Z,,,,,PADMALAYA TELEFILMS LTD.,3.96,4.2,3.96,4.2,4.2,4,,4.2,,,2953,12020,9,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532351,INE523B01011,AKSHOPTFBR,T,,,,,AKSH OPTIFIBRE LTD.,6.26,6.26,6.26,6.26,6.26,6.38,,6.26,,,75447,472298,39,F1,1,,,,,
